Path_ID,Sequence_Degrees,Is_Valid_Boundary,Holographic_Lock_Status,Forced_Tile_Count,Ambiguous_Layout_Dumps
PATH_SEQ_0020,"[-90°, 60°, 0°, 60°, -90°, 60°, 90°]",TRUE,Absolute Holographic Lock: Form forces 1 tile(s) to be completely stationary,1,
PATH_SEQ_0021,"[-90°, 60°, 90°, -60°, 90°, -60°, -90°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0022,"[-90°, 60°, 90°, -60°, 90°, -60°, -60°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0023,"[-90°, 60°, 90°, -60°, 90°, -60°, 0°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0024,"[-90°, 60°, 90°, -60°, 90°, -60°, 60°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0025,"[-90°, 60°, 90°, -60°, 90°, -60°, 90°]",TRUE,Absolute Holographic Lock: Form forces 1 tile(s) to be completely stationary,1,
PATH_SEQ_0026,"[-90°, 60°, 90°, 60°, -90°, 60°, -90°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0027,"[-90°, 60°, 90°, 60°, -90°, 60°, -60°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0028,"[-90°, 60°, 90°, 60°, -90°, 60°, 0°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0029,"[-90°, 60°, 90°, 60°, -90°, 60°, 60°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0030,"[-90°, 60°, 90°, 60°, -90°, 60°, 90°]",TRUE,Absolute Holographic Lock: Form forces 1 tile(s) to be completely stationary,1,
PATH_SEQ_0031,"[-60°, -90°, -60°, 90°, -60°, 90°, -90°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0032,"[-60°, -90°, -60°, 90°, -60°, 90°, -60°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0033,"[-60°, -90°, -60°, 90°, -60°, 90°, 0°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0034,"[-60°, -90°, -60°, 90°, -60°, 90°, 60°]",TRUE,Absolute Holographic Lock: Form forces 1 tile(s) to be completely stationary,1,
PATH_SEQ_0035,"[-60°, -90°, -60°, 90°, -60°, 90°, 90°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0036,"[-60°, -90°, -60°, 90°, 60°, 0°, -90°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0037,"[-60°, -90°, -60°, 90°, 60°, 0°, -60°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0038,"[-60°, -90°, -60°, 90°, 60°, 0°, 0°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0039,"[-60°, -90°, -60°, 90°, 60°, 0°, 60°]",TRUE,Absolute Holographic Lock: Form forces 1 tile(s) to be completely stationary,1,
PATH_SEQ_0040,"[-60°, -90°, -60°, 90°, 60°, 0°, 90°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0041,"[-60°, -90°, 60°, -90°, 60°, 90°, -90°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0042,"[-60°, -90°, 60°, -90°, 60°, 90°, -60°]",TRUE,Absolute Holographic Lock: Form forces 1 tile(s) to be completely stationary,1,
PATH_SEQ_0043,"[-60°, -90°, 60°, -90°, 60°, 90°, 0°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0044,"[-60°, -90°, 60°, -90°, 60°, 90°, 60°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0045,"[-60°, -90°, 60°, -90°, 60°, 90°, 90°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0046,"[-60°, -90°, 60°, 0°, 60°, -90°, -90°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0047,"[-60°, -90°, 60°, 0°, 60°, -90°, -60°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0048,"[-60°, -90°, 60°, 0°, 60°, -90°, 0°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0049,"[-60°, -90°, 60°, 0°, 60°, -90°, 60°]",TRUE,Absolute Holographic Lock: Form forces 1 tile(s) to be completely stationary,1,
PATH_SEQ_0050,"[-60°, -90°, 60°, 0°, 60°, -90°, 90°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0051,"[-60°, 90°, -60°, 90°, 60°, 0°, -90°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0052,"[-60°, 90°, -60°, 90°, 60°, 0°, -60°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0053,"[-60°, 90°, -60°, 90°, 60°, 0°, 0°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0054,"[-60°, 90°, -60°, 90°, 60°, 0°, 60°]",TRUE,Absolute Holographic Lock: Form forces 1 tile(s) to be completely stationary,1,
PATH_SEQ_0055,"[-60°, 90°, -60°, 90°, 60°, 0°, 90°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0056,"[-60°, 90°, 60°, 0°, 60°, -90°, -90°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0057,"[-60°, 90°, 60°, 0°, 60°, -90°, -60°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0058,"[-60°, 90°, 60°, 0°, 60°, -90°, 0°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0059,"[-60°, 90°, 60°, 0°, 60°, -90°, 60°]",TRUE,Absolute Holographic Lock: Form forces 1 tile(s) to be completely stationary,1,
PATH_SEQ_0060,"[-60°, 90°, 60°, 0°, 60°, -90°, 90°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0061,"[0°, 60°, -90°, 60°, 90°, 60°, -90°]",TRUE,Absolute Holographic Lock: Form forces 1 tile(s) to be completely stationary,1,
PATH_SEQ_0062,"[0°, 60°, -90°, 60°, 90°, 60°, -60°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0063,"[0°, 60°, -90°, 60°, 90°, 60°, 0°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0064,"[0°, 60°, -90°, 60°, 90°, 60°, 60°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0065,"[0°, 60°, -90°, 60°, 90°, 60°, 90°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0066,"[60°, -90°, 60°, 90°, -60°, 90°, -90°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0067,"[60°, -90°, 60°, 90°, -60°, 90°, -60°]",TRUE,Absolute Holographic Lock: Form forces 1 tile(s) to be completely stationary,1,
PATH_SEQ_0068,"[60°, -90°, 60°, 90°, -60°, 90°, 0°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0069,"[60°, -90°, 60°, 90°, -60°, 90°, 60°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0070,"[60°, -90°, 60°, 90°, -60°, 90°, 90°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0071,"[60°, -90°, 60°, 90°, 60°, -90°, -90°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0072,"[60°, -90°, 60°, 90°, 60°, -90°, -60°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0073,"[60°, -90°, 60°, 90°, 60°, -90°, 0°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0074,"[60°, -90°, 60°, 90°, 60°, -90°, 60°]",TRUE,Absolute Holographic Lock: Form forces 1 tile(s) to be completely stationary,1,
PATH_SEQ_0075,"[60°, -90°, 60°, 90°, 60°, -90°, 90°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0076,"[60°, 0°, 60°, -90°, 60°, 90°, -90°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0077,"[60°, 0°, 60°, -90°, 60°, 90°, -60°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0078,"[60°, 0°, 60°, -90°, 60°, 90°, 0°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0079,"[60°, 0°, 60°, -90°, 60°, 90°, 60°]",TRUE,Absolute Holographic Lock: Form forces 1 tile(s) to be completely stationary,1,
PATH_SEQ_0080,"[60°, 0°, 60°, -90°, 60°, 90°, 90°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0081,"[60°, 90°, -60°, 90°, -60°, 90°, -90°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0082,"[60°, 90°, -60°, 90°, -60°, 90°, -60°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0083,"[60°, 90°, -60°, 90°, -60°, 90°, 0°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0084,"[60°, 90°, -60°, 90°, -60°, 90°, 60°]",TRUE,Absolute Holographic Lock: Form forces 1 tile(s) to be completely stationary,1,
PATH_SEQ_0085,"[60°, 90°, -60°, 90°, -60°, 90°, 90°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0086,"[60°, 90°, 60°, -90°, 60°, 90°, -90°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0087,"[60°, 90°, 60°, -90°, 60°, 90°, -60°]",TRUE,Absolute Holographic Lock: Form forces 1 tile(s) to be completely stationary,1,
PATH_SEQ_0088,"[60°, 90°, 60°, -90°, 60°, 90°, 0°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0089,"[60°, 90°, 60°, -90°, 60°, 90°, 60°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0090,"[60°, 90°, 60°, -90°, 60°, 90°, 90°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0091,"[90°, -60°, 90°, -60°, 90°, 60°, -90°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0092,"[90°, -60°, 90°, -60°, 90°, 60°, -60°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0093,"[90°, -60°, 90°, -60°, 90°, 60°, 0°]",TRUE,Absolute Holographic Lock: Form forces 1 tile(s) to be completely stationary,1,
PATH_SEQ_0094,"[90°, -60°, 90°, -60°, 90°, 60°, 60°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0095,"[90°, -60°, 90°, -60°, 90°, 60°, 90°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0096,"[90°, -60°, 90°, 60°, 0°, 60°, -90°]",TRUE,Absolute Holographic Lock: Form forces 1 tile(s) to be completely stationary,1,
PATH_SEQ_0097,"[90°, -60°, 90°, 60°, 0°, 60°, -60°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0098,"[90°, -60°, 90°, 60°, 0°, 60°, 0°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0099,"[90°, -60°, 90°, 60°, 0°, 60°, 60°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0100,"[90°, -60°, 90°, 60°, 0°, 60°, 90°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0101,"[90°, 60°, -90°, 60°, 90°, -60°, -90°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0102,"[90°, 60°, -90°, 60°, 90°, -60°, -60°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0103,"[90°, 60°, -90°, 60°, 90°, -60°, 0°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0104,"[90°, 60°, -90°, 60°, 90°, -60°, 60°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0105,"[90°, 60°, -90°, 60°, 90°, -60°, 90°]",TRUE,Absolute Holographic Lock: Form forces 1 tile(s) to be completely stationary,1,
PATH_SEQ_0106,"[90°, 60°, 0°, 60°, -90°, 60°, -90°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0107,"[90°, 60°, 0°, 60°, -90°, 60°, -60°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0108,"[90°, 60°, 0°, 60°, -90°, 60°, 0°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0109,"[90°, 60°, 0°, 60°, -90°, 60°, 60°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0110,"[90°, 60°, 0°, 60°, -90°, 60°, 90°]",TRUE,Absolute Holographic Lock: Form forces 1 tile(s) to be completely stationary,1,
